Zenith,sky,stem,leaf
10,8.399394821859216,0.04304500159257405,-7.442439823451791
20,2.1661073234841997,0.05166688179865992,-1.2177742052828595
30,0.9822878641138345,0.07325645746639563,-0.05554432158023004
40,0.5627456001560867,0.09883758151105258,0.33841681833286075
50,0.36930148345987257,0.12791565385269432,0.5027828626874331
60,0.2641003960214722,0.1559506232187618,0.579948980759766
70,0.20077626797505763,0.17913006213841867,0.6200936698865237
80,0.1599994972753189,0.2032485548832335,0.6367519478414476
90,0.13241241535636405,0.22402839148398945,0.6435591931596465
100,0.11272080101757614,0.24056204839104625,0.6467171505913776
110,0.09873390436273739,0.2533453572570905,0.6479207383801722
120,0.08823511135414595,0.27545500520060573,0.6363098834452483
130,0.08065588740985426,0.3065800655843716,0.6127640470057741
140,0.07496602855307222,0.336131527370874,0.5889024440760537
150,0.07094082919144976,0.36141705260835866,0.5676421182001916
160,0.06826566559888404,0.3804861307832781,0.5512482036178379
170,0.06673430712455389,0.38761073368386345,0.5456549591915827
180,0.06623043693535309,0.3891236177587061,0.5446459453059409
